Term Amount,Add Array Memory,Add Array Time,Add List Memory,Add List Time,Generate Array Memory,Generate Array Time,Generate List Memory,Generate List Time,Multiply Array Memory,Multiply Array Time,Multiply List Memory,Multiply List Time,Process Array Memory,Process Array Time,Process List Memory,Process List Time
Term Amount,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List
420,40408,0.098,53464,0.139,6720,0.014,13440,0.052,4967024,21.031,5400560,31.301,0,0.025,0,0.03
430,41280,0.113,54752,0.159,6880,0.015,13760,0.052,5007984,21.719,5400560,32.072,0,0.025,0,0.03
430,41280,0.105,54752,0.143,6880,0.014,13760,0.058,5007984,21.815,5400560,32.584,0,0.026,0,0.025
430,41280,0.099,54752,0.148,6880,0.015,13760,0.051,5007984,28.77,5400560,28.768,0,0.03,0,0.026
430,41280,0.098,54752,0.143,6880,0.015,13760,0.053,5007984,22.305,5400560,31.919,0,0.025,0,0.025
430,41280,0.104,54752,0.139,6880,0.015,13760,0.056,5007984,22.998,5400560,29.578,0,0.026,0,0.026
440,42584,0.109,56344,0.179,7040,0.016,14080,0.055,5048944,23.546,5400560,33.212,0,0.026,0,0.036
440,42584,0.101,56344,0.154,7040,0.015,14080,0.055,5048944,30.335,5400560,32.265,0,0.026,0,0.026
440,42584,0.107,56344,0.146,7040,0.015,14080,0.06,5048944,23.29,5400560,29.71,0,0.026,0,0.026
440,42584,0.101,56344,0.146,7040,0.016,14080,0.054,5048944,23.595,5400560,29.862,0,0.026,0,0.026
440,42584,0.101,56344,0.152,7040,0.015,14080,0.053,5048944,23.169,5400560,31.993,0,0.03,0,0.026
450,43336,0.115,57352,0.163,7200,0.016,14400,0.055,4729736,29.755,4630776,26.734,0,0.027,0,0.032
450,43336,0.104,57352,0.153,7200,0.015,14400,0.056,4729736,24.239,4630776,26.356,0,0.03,0,0.031
450,43336,0.103,57352,0.148,7200,0.016,14400,0.056,4729736,28.826,4630776,26.686,0,0.027,0,0.027
